Title,Description,Artist,Culture,Countries,Teaser Text,Url,Image,regulerImage,largeImage,date,Date - century,medium,medium,accessionNumber,galleryInformation
"The Dragon of Wantley, His Tale","John Stewardson (American, late 19th century)",John Stewardson,,,"John Stewardson (American, late 19th century)  Date: 1895 Accession Number: 41.12.181 ",/art/collection/search/339318?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=401,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1895,19th century,Commercial relief process,Commercial relief process,41.12.181,Not on view
A winged dragon standing on a precipice,"Anonymous, Italian, 17th century ","Anonymous, Italian, 17th century",,,"Anonymous, Italian, 17th century Date: 17th century Accession Number: 54.501.1(88) ",/art/collection/search/856601?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=402,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,17th century,17th century,Etching,Etching,54.501.1(88),Not on view
"An allegorical scene; a young woman at centre holding a wreath above her head, at left is a old man leaning on a stick, a younger man at right who holds a small dragon","Marcantonio Raimondi (Italian, Argini (?) ca. 1480–before 1534 Bologna (?))",Marcantonio Raimondi,,,"Marcantonio Raimondi (Italian, Argini (?) ca. 1480–before 1534 Bologna (?))  Date: ca. 1515–27 Accession Number: 29.44.11 ",/art/collection/search/342651?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=403,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP854389.jpg,dp/web-additional/DP854389.jpg,dp/web-large/DP854389.jpg,ca. 1515–27,16th century,Engraving,Engraving,29.44.11,Not on view
Dragon and Clouds,"Attributed to Sadiqi Beg (Iranian, Tabriz 1533–1610 Isfahan)",Sadiqi Beg,,,"Attributed to Sadiqi Beg (Iranian, Tabriz 1533–1610 Isfahan)  Date: ca. 1600 Accession Number: 2010.309 ",/art/collection/search/457056?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=404,https://images.metmuseum.org/CRDImages/is/mobile-large/DP231289.jpg,is/web-additional/DP231289.jpg,is/web-large/DP231289.jpg,ca. 1600,17th century,Ink and watercolor on paper,paper,2010.309,Not on view
Jason Slays the Dragon (Par tels assauts Jason va travaillant le fier dragon de nuit et jour veillant...),"René Boyvin (French, Angers ca. 1525–1598 or 1625/6 Angers)",René Boyvin,,,"René Boyvin (French, Angers ca. 1525–1598 or 1625/6 Angers)  Date: 1563 Accession Number: 26.49.109 ",/art/collection/search/396010?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=405,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1563,16th century,Engraving; second state of three,Engraving,26.49.109,Not on view
WovenTextile with Dragon Roundels, ,,China,China,Date: late 16th to early 17th century Accession Number: 1998.321 ,/art/collection/search/39973?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=406,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,late 16th to early 17th century,16th century,"Silk, metallic thread (silver mostly gone), cotton",Silk,1998.321,Not on view
Saint Margaret and the Dragon set before an arcade,"Bartolomeo Biscaino (Italian, Genoa 1629–1657 Genoa)",Bartolomeo Biscaino,,,"Bartolomeo Biscaino (Italian, Genoa 1629–1657 Genoa)  Date: 1650–57 Accession Number: 62.537.8 ",/art/collection/search/651133?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=407,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1650–57,17th century,Etching,Etching,62.537.8,Not on view
Hercules Slays the Dragon Ladon from The Labours of Hercules,"Cornelis Cort (Netherlandish, Hoorn ca. 1533–1578 Rome)",Cornelis Cort,,,"Cornelis Cort (Netherlandish, Hoorn ca. 1533–1578 Rome)  Date: 1563 Accession Number: 28.4(69) ",/art/collection/search/421376?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=408,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1563,16th century,Engraving,Engraving,28.4(69),Not on view
Cup with Dragon and Lotus, ,,China,China,Date: 18th century Accession Number: 08.212.4 ,/art/collection/search/41876?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=409,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,18th century,18th century,Rhinoceros horn,Rhinoceros horn,08.212.4,Not on view
"Robe, Dragon (Long Pao)", ,,China,China,Date: 19th century Accession Number: 62.63 ,/art/collection/search/70326?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=410,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,19th century,19th century,"Silk, metallic thread on silk, paint",Silk,62.63,Not on view
